,year,age,sex,race,cause,mort
454,2000,40,2,2,o,150.817836930158
455,2000,40,2,2,t,332.461731072396
456,2000,40,2,2,v,0
457,2000,40,2,3,a,12.9527488189555
458,2000,40,2,3,c,40.198185989862
459,2000,40,2,3,d,11.2554920771614
460,2000,40,2,3,h,11.076833472762
461,2000,40,2,3,n,111.572298447417
462,2000,40,2,3,o,47.3445301658375
463,2000,40,2,3,t,122.827790524578
464,2000,40,2,3,v,0
465,2000,40,2,4,a,18.749094503963
466,2000,40,2,4,c,55.5167993104358
467,2000,40,2,4,d,17.044631367239
468,2000,40,2,4,h,11.6877472232496
469,2000,40,2,4,n,132.461135196829
470,2000,40,2,4,o,46.5074941591808
471,2000,40,2,4,t,149.505766564068
472,2000,40,2,4,v,0
473,2000,40,2,5,a,16.4448874810385
474,2000,40,2,5,c,53.2657821113787
475,2000,40,2,5,d,20.6072494827291
476,2000,40,2,5,h,22.1814761372147
477,2000,40,2,5,n,153.055742921142
478,2000,40,2,5,o,61.1635971915097
479,2000,40,2,5,t,173.662992403871
480,2000,40,2,5,v,0
481,2000,45,0,1,a,28.7532584478379
482,2000,45,0,1,c,90.3806769241099
483,2000,45,0,1,d,44.1401732205482
484,2000,45,0,1,h,65.8081395959415
485,2000,45,0,1,n,274.930601580297
486,2000,45,0,1,o,89.988526612408
487,2000,45,0,1,t,319.070774800846
488,2000,45,0,1,v,0
489,2000,45,0,2,a,49.6526062383825
490,2000,45,0,2,c,145.197552493996
491,2000,45,0,2,d,45.2513855477169
492,2000,45,0,2,h,141.864589252521
493,2000,45,0,2,n,618.991096359043
494,2000,45,0,2,o,282.276348374143
495,2000,45,0,2,t,664.24248190676
496,2000,45,0,2,v,0
497,2000,45,0,3,a,33.0248562591636
498,2000,45,0,3,c,69.9097606525151
499,2000,45,0,3,d,45.8304127678188
500,2000,45,0,3,h,43.4408591609406
501,2000,45,0,3,n,259.909907701989
502,2000,45,0,3,o,113.534431629369
503,2000,45,0,3,t,305.740320469807
504,2000,45,0,3,v,0
505,2000,45,0,4,a,24.1556177576609
506,2000,45,0,4,c,64.7712582351438
507,2000,45,0,4,d,20.949119825228
508,2000,45,0,4,h,32.5993956464008
509,2000,45,0,4,n,182.556615619844
510,2000,45,0,4,o,61.0303439806388
511,2000,45,0,4,t,203.505735445072
512,2000,45,0,4,v,0
513,2000,45,0,5,a,31.3383076137816
514,2000,45,0,5,c,93.9347352638906
515,2000,45,0,5,d,43.3213387195791
516,2000,45,0,5,h,71.3418853161971
517,2000,45,0,5,n,309.724517916472
518,2000,45,0,5,o,113.109589722603
519,2000,45,0,5,t,353.045856636051
520,2000,45,0,5,v,0
521,2000,45,1,1,a,42.7423223516367
522,2000,45,1,1,c,90.5171002391803
523,2000,45,1,1,d,66.5894516511212
524,2000,45,1,1,h,103.306247241099
525,2000,45,1,1,n,351.211716880591
526,2000,45,1,1,o,114.646047048676
527,2000,45,1,1,t,417.801168531713
528,2000,45,1,1,v,0
529,2000,45,1,2,a,79.598328981534
530,2000,45,1,2,c,150.089297667698
531,2000,45,1,2,d,68.1230550093677
532,2000,45,1,2,h,188.431284511206
533,2000,45,1,2,n,772.030932238516
534,2000,45,1,2,o,353.912021078079
535,2000,45,1,2,t,840.153987247884
536,2000,45,1,2,v,0
537,2000,45,1,3,a,48.0638647126238
538,2000,45,1,3,c,63.7702381936532
539,2000,45,1,3,d,73.6900530237771
540,2000,45,1,3,h,63.6521451599613
541,2000,45,1,3,n,322.748261080101
542,2000,45,1,3,o,147.262013013862
543,2000,45,1,3,t,396.438314103878
544,2000,45,1,3,v,0
545,2000,45,1,4,a,37.9329485432058
