"year","race","sex","age","educ","tpop_2"
2007,1,2,"45-49",0,8
2007,1,2,"45-49",1,470
2007,1,2,"45-49",2,2559
2007,1,2,"45-49",3,2422
2007,1,2,"45-49",4,2635
2007,1,2,"50-54",0,12
2007,1,2,"50-54",1,476
2007,1,2,"50-54",2,2319
2007,1,2,"50-54",3,2328
2007,1,2,"50-54",4,2535
2007,1,2,"55-59",0,5
2007,1,2,"55-59",1,435
2007,1,2,"55-59",2,2261
2007,1,2,"55-59",3,2088
2007,1,2,"55-59",4,2236
2007,1,2,"60-64",0,18
2007,1,2,"60-64",1,531
2007,1,2,"60-64",2,2094
2007,1,2,"60-64",3,1565
2007,1,2,"60-64",4,1429
2007,1,2,"65-69",0,0
2007,1,2,"65-69",1,522
2007,1,2,"65-69",2,1823
2007,1,2,"65-69",3,1090
2007,1,2,"65-69",4,873
2007,1,2,"70-74",0,8
2007,1,2,"70-74",1,624
2007,1,2,"70-74",2,1511
2007,1,2,"70-74",3,847
2007,1,2,"70-74",4,627
2008,1,1,"25-29",0,4
2008,1,1,"25-29",1,462
2008,1,1,"25-29",2,1900
2008,1,1,"25-29",3,1873
2008,1,1,"25-29",4,2048
2008,1,1,"30-34",0,4
2008,1,1,"30-34",1,310
2008,1,1,"30-34",2,1757
2008,1,1,"30-34",3,1577
2008,1,1,"30-34",4,2009
2008,1,1,"35-39",0,5
2008,1,1,"35-39",1,310
2008,1,1,"35-39",2,1853
2008,1,1,"35-39",3,1881
2008,1,1,"35-39",4,2430
2008,1,1,"40-44",0,11
2008,1,1,"40-44",1,479
2008,1,1,"40-44",2,2245
2008,1,1,"40-44",3,1773
2008,1,1,"40-44",4,2481
2008,1,1,"45-49",0,14
2008,1,1,"45-49",1,609
2008,1,1,"45-49",2,2718
2008,1,1,"45-49",3,2019
2008,1,1,"45-49",4,2485
2008,1,1,"50-54",0,13
2008,1,1,"50-54",1,507
2008,1,1,"50-54",2,2612
2008,1,1,"50-54",3,2056
2008,1,1,"50-54",4,2472
2008,1,1,"55-59",0,14
2008,1,1,"55-59",1,474
2008,1,1,"55-59",2,1830
2008,1,1,"55-59",3,1890
2008,1,1,"55-59",4,2555
2008,1,1,"60-64",0,12
2008,1,1,"60-64",1,435
2008,1,1,"60-64",2,1587
2008,1,1,"60-64",3,1504
2008,1,1,"60-64",4,2153
2008,1,1,"65-69",0,11
